TIME_MS,MODE,TARGET,YAW,OUTPUT,KP,KI,KD
3250,1,30.0,-294.12316717001846,2000.0,8.0,0.1,1.5
3260,1,30.0,294.0976878107403,1000.0,8.0,0.1,1.5
3270,1,30.0,-294.1502625436074,2000.0,8.0,0.1,1.5
3280,1,30.0,294.0752887814575,1000.0,8.0,0.1,1.5
3290,1,30.0,-294.1659643900081,2000.0,8.0,0.1,1.5
3300,1,30.0,294.0676867171139,1000.0,8.0,0.1,1.5
3310,1,30.0,-294.16478760252784,2000.0,8.0,0.1,1.5
3320,1,30.0,294.0775372374973,1000.0,8.0,0.1,1.5
3330,1,30.0,-294.14714326688977,2000.0,8.0,0.1,1.5
3340,1,30.0,294.1013992724367,1000.0,8.0,0.1,1.5
3350,1,30.0,-294.11919505716304,2000.0,8.0,0.1,1.5
3360,1,30.0,294.13093712661265,1000.0,8.0,0.1,1.5
3370,1,30.0,-294.09070608708026,2000.0,8.0,0.1,1.5
3380,1,30.0,294.15583237775206,1000.0,8.0,0.1,1.5
3390,1,30.0,-294.07162837352416,2000.0,8.0,0.1,1.5
3400,1,30.0,294.1673883983911,1000.0,8.0,0.1,1.5
3410,1,30.0,-294.06862631070913,2000.0,8.0,0.1,1.5
3420,1,30.0,294.1615683380518,1000.0,8.0,0.1,1.5
3430,1,30.0,-294.0827486055464,2000.0,8.0,0.1,1.5
3440,1,30.0,294.1404053112547,1000.0,8.0,0.1,1.5
3450,1,30.0,-294.10906193414826,2000.0,8.0,0.1,1.5
3460,1,30.0,294.1112921721243,1000.0,8.0,0.1,1.5
3470,1,30.0,-294.13837429379487,2000.0,8.0,0.1,1.5
3480,1,30.0,294.08439897774906,1000.0,8.0,0.1,1.5
3490,1,30.0,-294.1604460339399,2000.0,8.0,0.1,1.5
3500,1,30.0,294.0691202946463,1000.0,8.0,0.1,1.5
3510,1,30.0,-294.1675668607426,2000.0,8.0,0.1,1.5
3520,1,30.0,294.07079340639433,1000.0,8.0,0.1,1.5
3530,1,30.0,-294.1572492645334,2000.0,8.0,0.1,1.5
3540,1,30.0,294.08883384692376,1000.0,8.0,0.1,1.5
3550,1,30.0,-294.13309747850724,2000.0,8.0,0.1,1.5
3560,1,30.0,294.116939571331,1000.0,8.0,0.1,1.5
3570,1,30.0,-294.10354841637434,2000.0,8.0,0.1,1.5
3580,1,30.0,294.14529244147377,1000.0,8.0,0.1,1.5
3590,1,30.0,-294.0789244156695,2000.0,8.0,0.1,1.5
3600,1,30.0,294.1639879840941,1000.0,8.0,0.1,1.5
3610,1,30.0,-294.06782734827596,2000.0,8.0,0.1,1.5
3620,1,30.0,294.16649530828045,1000.0,8.0,0.1,1.5
3630,1,30.0,-294.0741337390989,2000.0,8.0,0.1,1.5
3640,1,30.0,294.15193853355845,1000.0,8.0,0.1,1.5
3650,1,30.0,-294.0956405843878,2000.0,8.0,0.1,1.5
3660,1,30.0,294.1254027601395,1000.0,8.0,0.1,1.5
3670,1,30.0,-294.1248349243275,2000.0,8.0,0.1,1.5
3680,1,30.0,294.09615769711786,1000.0,8.0,0.1,1.5
3690,1,30.0,-294.1515183360506,2000.0,8.0,0.1,1.5
3700,1,30.0,294.0744194863927,1000.0,8.0,0.1,1.5
3710,1,30.0,-294.16636953615557,2000.0,8.0,0.1,1.5
3720,1,30.0,294.06778191038256,1000.0,8.0,0.1,1.5
